datetime,path,label,description
2024-01-01_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-01_000000.npy,wet weather windy,spells of wet weather following across much of the UK today and again on Tuesday Windy in the S on Tuesday
2024-01-01_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-01_060000.npy,wet weather windy,spells of wet weather across many parts later today and again on Tuesday Windy in the S on Tuesday
2024-01-01_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-01_120000.npy,wet weather windy,spells of wet weather across many parts later today and again on Tuesday Windy in the S on Tuesday
2024-01-01_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-01_180000.npy,wet weather windy,spells of wet weather across many parts tonight and Tuesday Windy in the S on Tuesday
2024-01-02_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-02_000000.npy,wet weather windy,spells of wet weather across many parts during Tuesday Windy in the S on Tuesday
2024-01-02_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-02_060000.npy,rain winds,Yellow warning for rain across England/Wales Storm Henk to be named for winds across S Britain today
2024-01-02_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-02_120000.npy,strong winds rain,strong winds brought by Storm Henk to S Britain rain falling onto saturated catchments
2024-01-02_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-02_180000.npy,Storm Henk yellow warnings,Storm Henk exiting E’wards associated yellow warnings lapsing shortly
2024-01-03_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-03_000000.npy,rain hvy rain colder drier,"rain, given sensitivities including low prob of hvy rain in S/SE on Thursday low prob of hvy rain in S/SE on Thursday Marked change of type to colder by weekend Marked change of type to drier by weekend"
2024-01-03_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-03_060000.npy,hvy rain colder drier,potential hvy rain in S/SE on Thursday change of type to colder by weekend change of type to drier by weekend
2024-01-03_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-03_120000.npy,showers longer spells of rain heavy rain,further showers over the next couple of days longer spells of rain over the next couple of days heavy rain to affect sensitive areas
2024-01-03_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-03_180000.npy,showers longer spells of rain heavy rain,further showers over the next couple of days longer spells of rain over the next couple of days heavy rain to affect sensitive areas
2024-01-04_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-04_000000.npy,showers longer spells of rain heavy rain,further showers longer spells of rain heavy rain likely to affect sensitive areas
2024-01-04_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-04_060000.npy,showers longer spells of rain heavy rain,further showers or longer spells of rain heavy rain likely to affect sensitive areas
2024-01-04_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-04_120000.npy,Rain showers,"Rain moving northeast across southern and eastern England tonight showers feeding inland on Friday, particularly NE Scotland"
2024-01-04_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-04_180000.npy,Rain showers,"Rain moving northeast across southern and eastern England tonight showers feeding inland on Friday, particularly NE Scotland"
2024-01-05_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-05_000000.npy,Rain flooding,Rain across E Scotland today residual flooding impacts
2024-01-05_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-05_060000.npy,Rain fog ice,Rain across E Scotland today fog likely to be the main concerns ice likely to be the main concerns
2024-01-05_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-05_120000.npy,fog ice,fog likely to be the main concerns ice likely to be the main concerns
2024-01-05_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-05_180000.npy,fog ice light showers,fog likely to be the main concerns ice likely to be the main concerns light showers feeding inland and along old baroclinic zones
2024-01-06_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-06_000000.npy,fog ice heavy rain fall,Some fog given recent heavy rain fall Some ice given recent heavy rain fall recent heavy rain fall
2024-01-06_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-06_120000.npy,fog ice heavy rainfall freezing fog,Some fog and ice given recent heavy rainfall Ice likely to cause issues locally recent heavy rainfall Potential for more widespread/persistent fog/freezing fog parts of NI tonight and again tomorrow night under ridge axis
2024-01-06_180000,EIB2025/npy_files_2024_single_timesteps/2024-01-06_180000.npy,fog ice heavy rainfall freezing fog snow showers,Some fog and also ice given recent heavy rainfall Ice likely to cause issues locally Potential for more widespread/persistent fog/freezing fog parts of NI tonight and again Sunday night under ridge axis Snow showers now expected to move west across S areas during Monday
2024-01-07_000000,EIB2025/npy_files_2024_single_timesteps/2024-01-07_000000.npy,fog ice heavy rainfall freezing fog snow showers,Some fog and also ice given recent heavy rainfall Ice likely to cause issues locally recent heavy rainfall Potential for more widespread/persistent fog/freezing fog parts of NI and central/W Scotland today Snow showers expected to move west across S areas during Monday
2024-01-07_060000,EIB2025/npy_files_2024_single_timesteps/2024-01-07_060000.npy,colder conditions drier conditions quieter conditions cloudier weather fog ice freezing fog snow showers,"much colder conditions underway much drier conditions underway much quieter conditions underway cloudier slightly less cold weather probably spreading slowly S’wards fog more widespread/persistent fog/freezing fog parts of NI , Cumbria and central/W Scotland today ice given recent wet weather freezing fog parts of NI , Cumbria and central/W Scotland today snow showers running W’wards across S areas during Monday"
2024-01-07_120000,EIB2025/npy_files_2024_single_timesteps/2024-01-07_120000.npy,colder conditions drier conditions quieter conditions cloudier weather fog ice freezing fog snow showers,"much colder conditions underway much drier conditions underway much quieter conditions underway cloudier slightly less cold weather probably spreading slowly S’wards fog more widespread/persistent fog/freezing fog parts of NI, Cumbria and central/W Scotland today ice given recent wet weather freezing fog parts of NI, Cumbria and central/W Scotland today snow showers running W’wards across S areas during Monday"
